allele	status	v15_system	current_system	v15_phenotype	current_phenotype
FUT1*01N.24	added	H		H-	
FUT1*01N.25	added	H		H-	
FUT1*01N.26	added	H		H-	
FUT1*01N.27	added	H		H-	
FUT1*01N.28	added	H		H-	
FUT1*01N.29	added	H		H-	
FUT1*01N.30	added	H		H-	
FUT1*01N.31	added	H		H-	
FUT1*01N.32	added	H		H-	
FUT1*01N.33	added	H		H-	
FUT1*01N.34	added	H		H-	
FUT1*01N.35	added	H		H-	
FUT1*01N.36	added	H		H-	
FUT1*01N.37	added	H		H-	
FUT1*01W.31	added	H		H+weak	
FUT1*01W.32	added	H		H+weak	
FUT1*01W.33	added	H		H+weak	
FUT1*01W.34	added	H		H+weak	
FUT1*01W.35	added	H		H+weak	
FUT1*01W.36	added	H		H+weak	
FUT1*01W.37	added	H		H+weak	
FUT1*01W.38	added	H		H+weak	
FUT1*01W.39	added	H		H+weak	
FUT1*0N.01	added	H		H-	
FUT2*01	added	H		H+	
FUT2*01.02	added	H		H+	
FUT2*01.03.01	added	H		H+	
FUT2*01.03.02	added	H		H+	
FUT2*01.03.03	added	H		H+	
FUT2*01.04	added	H		H+	
FUT2*01.05	added	H		H+	
FUT2*01.06	added	H		H+	
FUT2*01.07	added	H		H+	
FUT2*01.08	added	H		H+	
FUT2*01.09	added	H		H+	
FUT2*01.10	added	H		H+	
FUT2*01.11	added	H		H+	
FUT2*01N.01	added	H		H-	
FUT2*01N.02	added	H		H-	
FUT2*01N.03	added	H		H-	
FUT2*01N.04	added	H		H-	
FUT2*01N.05	added	H		H-	
FUT2*01N.06	added	H		H-	
FUT2*01N.07	added	H		H-	
FUT2*01N.08	added	H		H-	
FUT2*01N.09	added	H		H-	
FUT2*01N.10	added	H		H-	
FUT2*01N.11	added	H		H-	
FUT2*01N.12	added	H		H-	
FUT2*01N.13	added	H		H-	
FUT2*01N.14	added	H		H-	
FUT2*01N.15	added	H		H-	
FUT2*01N.16	added	H		H-	
FUT2*01N.17	added	H		H-	
FUT2*01N.18	added	H		H-	
FUT2*01W.01	added	H		H+w	
FUT2*01W.02.01	added	H		H+w	
FUT2*01W.02.02	added	H		H+w	
FUT2*01W.02.03	added	H		H+w	
FUT2*01W.03	added	H		H+w	
FUT2*01W.04	added	H		H+weak	
FUT2*0N.01	added	H		H-	
FUT2*0N.02	added	H		H-	
FUT2*0N.03	added	H		H-	
FUT2*0N.04	added	H		H-	
FUT2*0N.05	added	H		H-	
FUT2*ON.01	added	H		H-	
FUT2*ON.03	added	H		H-	
FUT2*ON.04	added	H		H-	
FUT3*01.01	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.02	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.03	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.04	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.05	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.06	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.07	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.08.01	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.08.02	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.10	added	LE		FUT3 Active - can make Lewis antigens, however there is a 90% reduction in enzyme functionality.	
FUT3*01.11	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.12	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.13	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.14	added	LE		FUT3 Active - can make Lewis antigens	
FUT3*01.15	added	LE		FUT3 Active - can make Lewis antigens, however there is a 90% reduction in enzyme functionality.	
FUT3*01.16	added	LE		FUT3 Active - can make Lewis antigens, however there is a 90% reduction in enzyme functionality.	
FUT3*01.17.01	added	LE		FUT3 Active - can make Lewis antigens, however there is a 90% reduction in enzyme functionality.	
FUT3*01N.01.01	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.01.02	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.01.03	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.01.04	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.01.05	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.01.06	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.01.07	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.01.08	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.01.09	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.01.10	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.01.11	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.01.12	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.03.01	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.03.02	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.03.03	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.03.04	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.03.05	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.03.06	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.03.07	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.03.08	added	LE		FUT3 Inactive - Le(a-b-)	
